product_id,sku,product_name,category_id,supplier_id,brand,unit_cost,list_price,currency_code,active_flag,created_at,updated_at
10001,NRT-OUT-10001,Aurora Works Mat 1,5,5008,Cedar & Finch,22.77,37.63,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10002,NRT-ELE-10002,Orbit & Oak Organizer 2,1,5001,Aurora Works,22.87,62.06,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10003,NRT-PET-10003,Northline Lamp 3,7,5007,Northline,33.16,54.28,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10004,NRT-TRA-10004,Blue Peak Lamp 4,8,5006,Orbit & Oak,17.78,32.58,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10005,NRT-PET-10005,Northline Organizer 5,7,5003,Northline,36.23,94.96,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10006,NRT-FIT-10006,Blue Peak Blender 6,4,5007,Aurora Works,18.38,36.17,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10007,NRT-OUT-10007,Cedar & Finch Headphones 7,5,5005,Northline,28.66,75.41,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10008,NRT-TRA-10008,Blue Peak Bottle 8,8,5007,Aurora Works,12.81,18.15,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10009,NRT-OUT-10009,Cedar & Finch Keyboard 9,5,5005,Northline,35.78,56.51,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10010,NRT-FIT-10010,Aurora Works Headphones 10,4,5006,Orbit & Oak,16.68,31.14,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10011,NRT-PER-10011,Orbit & Oak Organizer 11,6,5003,Aurora Works,27.25,72.76,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10012,NRT-OUT-10012,Cedar & Finch Mat 12,5,5004,Aurora Works,7.82,21.47,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10013,NRT-ELE-10013,Orbit & Oak Keyboard 13,1,5001,Aurora Works,32.51,84.25,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10014,NRT-TRA-10014,Northline Keyboard 14,8,5006,Aurora Works,17.8,38.33,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10015,NRT-FIT-10015,Aurora Works Headphones 15,4,5001,Northline,34.72,48.67,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10016,NRT-KIT-10016,Blue Peak Organizer 16,3,5002,Orbit & Oak,29.62,55.14,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10017,NRT-OUT-10017,Cedar & Finch Blender 17,5,5001,Cedar & Finch,69.19,140.14,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10018,NRT-ELE-10018,Cedar & Finch Organizer 18,1,5007,Blue Peak,28.8,55.34,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10019,NRT-KIT-10019,Aurora Works Bottle 19,3,5007,Blue Peak,20.3,52.9,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10020,NRT-PER-10020,Orbit & Oak Headphones 20,6,5001,Orbit & Oak,13.43,34.99,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10021,NRT-OUT-10021,Aurora Works Organizer 21,5,5001,Orbit & Oak,20.21,37.57,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10022,NRT-PER-10022,Aurora Works Headphones 22,6,5001,Blue Peak,58.61,135.46,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10023,NRT-FIT-10023,Aurora Works Mat 23,4,5004,Cedar & Finch,21.91,32.24,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10024,NRT-PET-10024,Aurora Works Organizer 24,7,5006,Blue Peak,37.65,104.78,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10025,NRT-FIT-10025,Northline Lamp 25,4,5007,Orbit & Oak,15.29,31.3,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10026,NRT-FIT-10026,Aurora Works Backpack 26,4,5006,Blue Peak,11.26,17.69,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10027,NRT-FIT-10027,Cedar & Finch Backpack 27,4,5005,Blue Peak,27.74,50.46,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10028,NRT-KIT-10028,Cedar & Finch Organizer 28,3,5005,Northline,12.54,19.79,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10029,NRT-PER-10029,Cedar & Finch Lamp 29,6,5004,Aurora Works,16.93,27.97,USD,1,2024-01-01T00:00:00,2026-08-15T12:00:00
10030,NRT-HOM-10030,Blue Peak Bottle 30,2,5005,Orbit & Oak,21.73,33.78,USD,0,2024-01-01T00:00:00,2026-08-15T12:00:00
